SongName,ArtistName,Popularity,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms,URL,cluster
Enjoy Enjaami - Spotify Singles (with Dhee feat. Arivu & Santhosh Narayanan),DJ Snake,74,0.653,0.658,2,-6.428,1,0.0304,0.0215,1.66e-06,0.0939,0.219,99.99,221507,https://i.scdn.co/image/ab67616d0000b273bc404153ef5f169a39b1deaf,2
Weekend Vibe (feat. Desi Crew),Jubël,0,0.878,0.64,0,-5.641,1,0.0591,0.142,0.0,0.0981,0.658,124.069,200524,https://i.scdn.co/image/ab67616d0000b27344dbbe93532454f539187cb0,2
YUSO (feat. Lil Wayne & Saweetie),Kid Ink,80,0.631,0.239,11,-7.071,0,0.0398,0.864,0.0,0.116,0.0927,79.859,149297,https://i.scdn.co/image/ab67616d0000b2734a5a0a944cb5bf49508e6528,0
Wolves (feat. Post Malone),Big Sean,66,0.544,0.704,4,-5.678,0,0.0435,0.0156,0.0,0.164,0.265,80.029,189062,https://i.scdn.co/image/ab67616d0000b273b1b3fdd23be4c158d4d2c32f,2
New Love (feat. Ellie Goulding),Silk City,86,0.866,0.813,11,-4.063,0,0.0554,0.38,0.0,0.0779,0.969,121.998,199440,https://i.scdn.co/image/ab67616d0000b273658743f7cfc745e08cc6c993,2
My House - Chill Mix,Elderbrook,84,0.444,0.819,10,-4.078,0,0.341,0.106,0.0,0.107,0.747,82.695,187973,https://i.scdn.co/image/ab67616d0000b273dcc4c108266da9897c176262,1
Lost,Gareth Emery,14,0.834,0.548,5,-11.487,0,0.121,0.144,0.00629,0.101,0.188,99.154,144170,https://i.scdn.co/image/ab67616d0000b273fd4ccaa0be6ceddd41f57eb3,2
Slow Clap (with Saweetie),Gwen Stefani,59,0.751,0.857,1,-4.385,0,0.0752,0.31,0.0,0.0801,0.501,104.984,151999,https://i.scdn.co/image/ab67616d0000b27361b818cd9a6de67dafd178db,2
Glad You Came,The Wanted,0,0.878,0.64,0,-5.641,1,0.0591,0.142,0.0,0.0981,0.658,124.069,200524,https://i.scdn.co/image/ab67616d0000b27317a142a78128fb7c54ab9aa4,2
Smile (with The Weeknd),Juice WRLD,59,0.751,0.857,1,-4.385,0,0.0752,0.31,0.0,0.0801,0.501,104.984,151999,https://i.scdn.co/image/ab67616d0000b2733e0698e4ae5ffb82a005aeeb,2
Wishing Well,Juice WRLD,0,0.701,0.425,7,-10.965,1,0.375,0.328,0.13,0.1,0.562,135.128,194088,https://i.scdn.co/image/ab67616d0000b2733e0698e4ae5ffb82a005aeeb,1
Real Shit (with benny blanco),Juice WRLD,82,0.73,0.703,0,-5.672,0,0.0369,0.109,0.0,0.0657,0.595,138.113,192120,https://i.scdn.co/image/ab67616d0000b273147c68fd1aca248ed8847dcb,2
Shots,Imagine Dragons,0,0.659,0.667,11,-4.668,0,0.0339,0.00173,2.85e-05,0.1,0.468,115.982,258004,https://i.scdn.co/image/ab67616d0000b2739963af59402765ccc5d34757,2
Stitches,Shawn Mendes,86,0.748,0.524,8,-5.599,1,0.0338,0.414,0.0,0.111,0.661,95.01,244960,https://i.scdn.co/image/ab67616d0000b273d26246b23c8bfa8ce543b3bb,2
